block_number,btc_price
10000,6486.25
20000,6486.25
30000,6486.25
40000,6486.25
50000,6486.25
60000,6486.25
70000,6486.25
80000,6486.25
90000,6486.25
100000,6486.25
110000,6486.25
120000,6486.25
130000,6486.25
140000,6486.25
150000,6486.25
160000,6486.25
170000,6486.25
180000,6486.25
190000,6486.25
200000,6486.25
210000,6486.25
220000,6486.25
230000,6486.25
240000,6486.25
250000,6486.25
260000,6486.25
270000,6486.25
280000,6486.25
290000,6486.25
300000,6486.25
310000,6486.25
320000,6486.25
330000,6486.25
340000,6486.25
350000,6486.25
360000,6486.25
370000,6486.25
380000,6486.25
390000,6486.25
400000,6486.25
410000,6486.25
420000,6486.25
430000,6486.25
440000,6486.25
450000,6486.25
460000,6486.25
470000,6486.25
480000,6486.25
490000,6486.25
500000,6486.25
510000,6486.25
520000,6486.25
530000,6486.25
540000,6486.25
550000,6486.25
560000,6486.25
570000,6486.25
580000,6486.25
590000,6486.25
600000,6486.25
610000,6486.25
620000,6486.25
630000,6486.25
640000,6486.25
650000,6486.25
660000,6486.25
670000,6486.25
680000,6486.25
690000,6486.25
700000,6486.25
710000,6486.25
720000,6486.25
730000,6486.25
740000,6486.25
750000,6486.25
760000,6486.25
770000,6486.25
780000,6486.25
790000,6486.25
800000,6486.25
810000,6486.25
820000,6486.25
830000,6486.25
840000,6486.25
850000,6486.25
860000,6486.25
870000,6486.25
880000,6486.25
890000,6486.25
900000,6486.25
910000,6486.25
920000,6486.25
930000,6486.25
940000,6486.25
950000,6486.25
960000,6486.25
970000,6486.25
980000,6486.25
990000,6486.25
1000000,6486.25
1010000,6486.25
1020000,6486.25
1030000,6486.25
1040000,6486.25
1050000,6486.25
1060000,6486.25
1070000,6486.25
1080000,6486.25
1090000,6486.25
1100000,6486.25
1110000,6486.25
1120000,6486.25
1130000,6486.25
1140000,6486.25
1150000,6486.25
1160000,6486.25
1170000,6486.25
1180000,6486.25
1190000,6486.25
1200000,6486.25
1210000,6486.25
1220000,6486.25
1230000,6486.25
1240000,6486.25
1250000,6486.25
1260000,6486.25
1270000,6486.25
1280000,6486.25
1290000,6486.25
1300000,6486.25
1310000,6486.25
1320000,6486.25
1330000,6486.25
1340000,6486.25
1350000,6486.25
1360000,6486.25
1370000,6486.25
1380000,6486.25
1390000,6486.25
1400000,6486.25
1410000,6486.25
1420000,6486.25
1430000,6486.25
1440000,6486.25
1450000,6486.25
1460000,6486.25
1470000,6486.25
1480000,6486.25
1490000,6486.25
1500000,6486.25
1510000,6486.25
1520000,6486.25
1530000,6486.25
1540000,6486.25
1550000,6486.25
1560000,6486.25
1570000,6486.25
1580000,6486.25
1590000,6486.25
1600000,6486.25
1610000,6486.25
1620000,6486.25
1630000,6486.25
1640000,6486.25
1650000,6486.25
1660000,6486.25
1670000,6486.25
1680000,6486.25
1690000,6486.25
1700000,6486.25
1710000,6486.25
1720000,6486.25
1730000,6486.25
1740000,6486.25
1750000,6486.25
1760000,6486.25
1770000,6486.25
1780000,6486.25
1790000,6486.25
1800000,6486.25
1810000,6486.25
1820000,6486.25
1830000,6486.25
1840000,6486.25
1850000,6486.25
1860000,6486.25
1870000,6486.25
1880000,6486.25
1890000,6486.25
1900000,6486.25
1910000,6486.25
1920000,6486.25
1930000,6486.25
1940000,6486.25
1950000,6486.25
1960000,6486.25
1970000,6486.25
1980000,6486.25
1990000,6486.25
2000000,6486.25
2010000,6486.25
2020000,6486.25
2030000,6486.25
2040000,6486.25
2050000,6486.25
2060000,6486.25
2070000,6486.25
2080000,6486.25
2090000,6486.25
2100000,6486.25
2110000,6486.25
2120000,6486.25
2130000,6486.25
2140000,6486.25
2150000,6486.25
2160000,6486.25
2170000,6486.25
2180000,6486.25
2190000,6486.25
2200000,6486.25
2210000,6486.25
2220000,6486.25
2230000,6486.25
2240000,6486.25
2250000,6486.25
2260000,6486.25
2270000,6486.25
2280000,6486.25
2290000,6486.25
2300000,6486.25
2310000,6486.25
2320000,6486.25
2330000,6486.25
2340000,6486.25
2350000,6486.25
2360000,6486.25
2370000,6486.25
2380000,6486.25
2390000,6486.25
2400000,6486.25
2410000,6486.25
2420000,6486.25
2430000,6486.25
