iter	MAE
0	141.8506806
1	135.9042186
2	127.4570529
3	119.9592059
4	112.303135
5	107.9701812
6	102.4502436
7	95.93437078
8	89.73796582
9	84.70209769
10	78.66082785
11	73.63614435
12	68.73418743
13	64.4101845
14	60.35146207
15	56.58167942
16	54.10334465
17	51.79861128
18	49.04157678
19	45.91573956
20	43.4171512
21	39.88957031
22	38.25284888
23	36.46756963
24	34.58347773
25	33.50611298
26	31.67349756
27	30.34543647
28	28.65396567
29	27.7546424
30	26.52698561
31	25.29262885
32	23.74492807
33	22.88292152
34	21.52782634
35	20.42702638
36	19.28274591
37	18.29728053
38	17.68214725
39	16.88094815
40	15.95109159
41	15.4440672
42	14.76127295
43	14.1056033
44	13.555325
45	12.93680118
46	12.26396179
47	11.80904325
48	11.03145265
49	10.45030363
50	9.865544268
51	9.387551559
52	9.006871997
53	8.647868704
54	8.372783591
55	8.00788921
56	7.677624793
57	7.441655363
58	7.029496786
59	6.747973305
60	6.624854797
61	6.439985563
62	6.091353532
63	5.752758288
64	5.551533246
65	5.402351135
66	5.237268604
67	4.970436193
68	4.836406632
69	4.680305997
70	4.588441502
71	4.508019593
72	4.345908718
73	4.2190534
74	4.134870846
75	4.044232569
76	3.893771253
77	3.846645498
78	3.759780873
79	3.613571539
80	3.561238658
81	3.472038962
82	3.367480078
83	3.332190533
84	3.220181976
85	3.135258797
86	3.075575382
87	2.964382438
88	2.923925755
89	2.898242953
90	2.857240036
91	2.848591274
92	2.797519728
93	2.742833722
94	2.719896553
95	2.683256277
96	2.670248829
97	2.608042894
98	2.582439782
99	2.511559929
100	2.495945378
101	2.473799049
102	2.452278975
103	2.411061321
104	2.401497498
105	2.372520135
106	2.337649654
107	2.306542915
108	2.268009622
109	2.246336774
110	2.223318476
111	2.202007481
112	2.194673395
113	2.174984174
114	2.169126014
115	2.14856202
116	2.099323795
117	2.086793577
118	2.067359475
119	2.017312658
120	1.993973266
121	1.961596001
122	1.930529723
123	1.898266221
124	1.864654112
125	1.850022822
126	1.834261445
127	1.822555336
128	1.792727739
129	1.787837634
