,title,doi,name,lang,paralex_version,contributors,language_norm,Latitude,Longitude,Family_ID,lang_name,Family
0,Paralatvian,https://doi.org/10.5281/zenodo.14218763,paralatvian,lvs,2.2.0,Matías Guzmán Naranjo,"Language(part3='lvs', part2b=None, part2t=None, part1=None, scope='I', type='L', status='A', name='Standard Latvian', comment=None, other_names=[Name(print='Standard Latvian', inverted='Latvian, Standard')], macrolanguage='lav', retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",57.0,24.0,indo1319,Standard Latvian,Indo-European
1,Parahungarian : a dataset of Hungarian nouns,https://doi.org/10.5281/zenodo.14218751,parahungarian,hu,2.2.0,Matías Guzmán Naranjo,"Language(part3='hun', part2b='hun', part2t='hun', part1='hu', scope='I', type='L', status='A', name='Hungarian', comment=None, other_names=None, macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",46.9068585714,19.6555271429,ural1272,Hungarian,Uralic
2,VeLeRo: a Verbal Lexicon of Romanian,https://doi.org/10.5281/zenodo.14216644,velero_dataset,cat,2.1.0,Borja Herce;Bogdan Pricop,"Language(part3='cat', part2b='cat', part2t='cat', part1='ca', scope='I', type='L', status='A', name='Catalan', comment=None, other_names=[Name(print='Valencian', inverted='Valencian')], macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",41.453,1.569,indo1319,Catalan,Indo-European
3,VeLePa: Verbal Lexicon of Pame,https://doi.org/10.5281/zenodo.14206007,velepa,pbs,2.1.1,Borja Herce,"Language(part3='pbs', part2b=None, part2t=None, part1=None, scope='I', type='L', status='A', name='Central Pame', comment=None, other_names=[Name(print='Central Pame', inverted='Pame, Central')], macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",21.3762,-99.2898,otom1299,Central Pame,Otomanguean
4,VeLeCa: a Verbal Lexicon of Catalan,https://doi.org/10.5281/zenodo.14203025,veleca_dataset,cat,2.1.0,Borja Herce;Bogdan Pricop,"Language(part3='cat', part2b='cat', part2t='cat', part1='ca', scope='I', type='L', status='A', name='Catalan', comment=None, other_names=[Name(print='Valencian', inverted='Valencian')], macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",41.453,1.569,indo1319,Catalan,Indo-European
5,VeLeSpa: a Verbal Lexicon of Spanish,https://doi.org/10.1007/s10579-024-09776-2,velespa_dataset,spa,2.1.0,Borja Herce,"Language(part3='spa', part2b='spa', part2t='spa', part1='es', scope='I', type='L', status='A', name='Spanish', comment=None, other_names=[Name(print='Castilian', inverted='Castilian')], macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",40.4414,-1.11788,indo1319,Spanish,Indo-European
6,ParaKasem: Kasem noun dataset,https://doi.org/10.5281/zenodo.14193535,parakasem,xsm,2.1.1,Matías Guzmán Naranjo,"Language(part3='xsm', part2b=None, part2t=None, part1=None, scope='I', type='L', status='A', name='Kasem', comment=None, other_names=None, macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",11.0824,-1.39076,atla1278,Kasem,Atlantic-Congo
7,Classical Tibetan Verbal Paradigms,https://doi.org/10.5281/zenodo.14170906,Classical Tibetan Verbal Paradigms,xct,*unknown*,"Sims-Williams, Helen;Zemp, Marius","Language(part3='xct', part2b=None, part2t=None, part1=None, scope='I', type='H', status='A', name='Classical Tibetan', comment=None, other_names=[Name(print='Classical Tibetan', inverted='Tibetan, Classical')], macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",29.24,92.01,sino1245,Classical Tibetan,Sino-Tibetan
8,European Portuguese Verbal Paradigms in Phonemic Notation,https://doi.org/10.5281/zenodo.14070141,velepor,por,2.0.7,Fernando Perdigão;Sacha Beniamine;Ana R. Luís;Olivier Bonami,"Language(part3='por', part2b='por', part2t='por', part1='pt', scope='I', type='L', status='A', name='Portuguese', comment=None, other_names=None, macrolanguage=None, retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",39.91,-8.1,indo1319,Portuguese,Indo-European
9,AraVeLex: Modern Standard Arabic Verbal lexicon,https://doi.org/10.5281/zenodo.14069923,aravelex,arb,2.0.7,Sacha Beniamine,"Language(part3='arb', part2b=None, part2t=None, part1=None, scope='I', type='L', status='A', name='Standard Arabic', comment=None, other_names=[Name(print='Standard Arabic', inverted='Arabic, Standard')], macrolanguage='ara', retire_reason=None, retire_change_to=None, retire_remedy=None, retire_date=None)",27.9625,43.8525,afro1255,Standard Arabic,Afro-Asiatic
