Timestamp,Test Run ID,Node ID,Short Name,Long Name,SNR (dB),RSSI (dBm),SNR Towards (dB)
2025-06-23 19:04:36,cabanillas-wio-porche-gw-tuneada2,!b5f1e742,Rak,venturada rak4631,Forwarded,Forwarded,-15.0
2025-06-23 19:04:37,cabanillas-wio-porche-gw-tuneada2,!29171cd5,📡,Sauron🗼🌞,-6.25,-104,-2.0
